Page Title,Page Title
Manage content pages of the mobile application. These contents will be displayed under Info section of the mobile app.,Manage content pages of the mobile application. These contents will be displayed under Info section of the mobile app.
Application Settings,Application Settings
Banners,Banners
Labels and Messages,Labels and Messages
CMS Contents,CMS Contents
Push Notifications,Push Notifications
Product Slider,Product Slider
Category Icons,Category Icons
Select Your Store,Select Your Store
Configure The Store,Configure The Store
Push Notification,Push Notification
Activate Push Notification,Activate Push Notification
Sandbox mode,Sandbox mode
GCM API Key,GCM API Key
Google API Project Number,Google API Project Number
Upload IOS PEM file,Upload IOS PEM file
PEM Password,PEM Password
Application Information,Application Information
App Name on Google Play Store,App Name on Google Play Store
App URL on Google Play Store,App URL on Google Play Store
App Name on Apple Store,App Name on Apple Store
App URL on Apple Store,App URL on Apple Store
Application Description,Application Description
Application Image,Application Image
Home Page Banner Images,Home Page Banner Images
Label,Label
Message,Message
Social Media URLs,Social Media URLs
CMS Pages,CMS Pages
Link to external page:,Link to external page:
Push Notifications,Push Notifications
Active:,Active:
Position:,Position:
Manage Category Icons,Manage Category Icons
Apply no icon,Apply no icon
Apply Magento Category Thumbnail to all categories,Apply Magento Category Thumbnail to all categories
Company Name,Company Name
Phone Number,Phone Number
Application Store,Application Store
"If you have your social media accounts/pages, than activate respective social media plate form and Supply their URL. Activated plate form icons will be displayed on Info section page.","If you have your social media accounts/pages, than activate respective social media plate form and Supply their URL. Activated plate form icons will be displayed on Info section page."
Personalization,Personalization
Pop Up Setting,Pop Up Setting
Enable Pop Up,Enable Pop Up
Upload Pop Up Image,Upload Pop Up Image
Set Pop Up Cookie Time,Set Pop Up Cookie Time
Cookies Lifetime in Seconds.,Cookies Lifetime in Seconds.
